,carat,cut,color,clarity,depth,table,price
0,1.21,Premium,J,VS2,62.4,58.0,4268
1,0.32,Very Good,H,VS2,63.0,57.0,505
2,0.71,Fair,G,VS1,65.5,55.0,2686
3,0.41,Good,D,SI1,63.8,56.0,738
4,1.02,Ideal,G,SI1,60.5,59.0,4882
5,1.52,Ideal,F,SI2,61.2,57.0,9057
6,1.01,Fair,H,VS2,65.2,56.0,3733
7,1.52,Ideal,J,VS1,62.3,58.0,8608
8,0.31,Ideal,H,VS1,61.8,54.2,557
9,1.14,Ideal,G,SI1,61.7,56.0,6741
10,0.44,Premium,E,SI1,62.3,59.0,1040
11,1.02,Premium,I,SI1,58.0,58.0,4284
12,0.93,Ideal,I,SI2,62.3,57.0,3101
13,1.51,Premium,G,VS1,60.1,58.0,14507
14,1.65,Ideal,H,SI2,61.6,55.0,10349
15,1.5,Good,G,SI2,57.5,63.0,6006
16,0.43,Ideal,D,VS1,62.1,56.0,1207
17,0.38,Premium,G,VS2,60.8,61.0,983
18,0.85,Ideal,I,VS1,61.9,56.0,3548
19,1.53,Premium,D,SI2,60.7,60.0,11078
20,1.54,Premium,H,VS2,61.0,60.0,11177
21,0.71,Premium,G,SI2,62.0,59.0,1740
22,0.3,Very Good,G,VS1,61.7,56.0,605
23,1.3,Ideal,G,IF,61.3,56.0,12932
24,0.3,Premium,G,SI1,62.9,59.0,574
25,1.0,Ideal,I,SI2,61.7,56.0,2873
26,1.0,Premium,G,VS2,61.6,54.0,6216
27,0.9,Premium,D,SI1,61.7,56.0,3568
28,1.55,Very Good,H,SI1,63.2,57.0,7066
29,1.01,Premium,H,SI2,61.1,60.0,3054
30,1.16,Premium,G,SI2,62.5,58.0,4969
31,0.35,Ideal,H,VVS1,62.0,53.9,743
32,0.97,Ideal,H,VVS1,60.4,57.0,6801
33,1.19,Ideal,E,SI2,60.2,57.0,5717
34,0.7,Very Good,H,VS1,62.1,56.0,2422
35,0.8,Very Good,H,SI1,63.2,54.0,2553
36,2.0,Premium,I,SI2,61.3,59.0,14208
37,0.71,Very Good,E,VS2,63.5,59.0,2858
38,1.0,Premium,F,SI1,60.3,58.0,5292
39,0.5,Ideal,E,SI2,62.4,57.0,1240
40,0.51,Ideal,G,VVS2,61.3,57.0,1875
41,1.04,Premium,G,SI2,62.2,59.0,3861
42,0.64,Ideal,G,VVS2,61.8,54.0,2587
43,0.8,Ideal,E,VS2,62.2,57.0,3648
44,0.3,Ideal,D,SI1,61.9,56.0,552
45,0.38,Premium,E,VS2,61.8,58.0,866
46,0.31,Ideal,G,VS1,62.1,55.0,625
47,1.0,Fair,H,SI1,55.2,64.0,3830
48,0.78,Ideal,G,VS2,61.7,55.0,3184
49,1.0,Very Good,D,SI1,59.8,59.0,5671
50,0.7,Very Good,H,VS1,60.3,63.0,2399
51,0.64,Very Good,F,SI1,60.7,59.0,1688
52,0.31,Ideal,I,VS1,61.3,55.6,513
53,0.52,Ideal,G,VS2,61.9,55.0,1549
54,0.33,Ideal,E,VS1,62.6,57.0,1002
55,0.3,Very Good,H,VVS1,63.4,57.0,878
56,1.0,Good,J,SI1,63.9,60.0,3679
57,0.3,Ideal,E,I1,60.3,57.0,495
58,0.47,Premium,H,VS1,61.8,58.0,1221
59,1.59,Ideal,H,VS1,60.7,56.0,13839
60,1.01,Good,G,SI1,63.7,60.0,5113
61,0.34,Ideal,H,SI1,62.6,56.0,628
62,0.31,Ideal,E,VVS2,60.8,57.0,816
63,0.74,Ideal,G,VS2,61.2,56.0,3434
64,0.33,Ideal,F,VS2,62.6,55.0,854
65,1.08,Ideal,I,VS2,61.8,54.0,5455
66,0.79,Ideal,G,SI1,62.3,57.0,2898
67,0.3,Ideal,H,VVS2,61.5,57.0,776
68,1.33,Ideal,I,VVS2,62.2,56.0,7887
69,0.51,Very Good,H,SI1,61.2,55.0,1008
70,0.58,Ideal,D,SI2,61.2,57.0,1342
71,1.22,Ideal,H,VS2,62.0,58.0,7623
72,0.78,Good,H,VS2,63.7,60.0,2440
73,1.62,Ideal,I,VS1,60.8,56.0,11152
74,1.65,Ideal,G,VS2,60.8,56.0,14456
75,0.55,Very Good,F,VS1,61.2,56.4,1975
76,1.64,Ideal,E,SI1,60.7,55.0,9801
77,0.3,Premium,E,VS2,62.5,59.0,658
78,0.41,Ideal,D,VS2,61.7,56.0,1076
79,0.3,Premium,D,VVS2,62.4,58.0,752
80,1.1,Premium,G,VS2,59.6,60.0,6121
81,1.03,Ideal,I,SI1,63.3,57.0,4401
82,0.3,Fair,J,VS2,64.8,58.0,416
83,1.02,Premium,I,SI1,62.7,58.0,4227
84,0.56,Premium,E,VS2,61.8,56.0,1915
85,1.51,Very Good,F,VS1,62.6,57.0,14976
86,1.13,Premium,I,SI1,61.8,59.0,4536
87,0.34,Ideal,I,SI1,61.9,57.0,589
88,1.16,Premium,H,SI2,58.8,61.0,4157
89,0.38,Very Good,F,VS2,59.7,57.0,752
90,1.03,Premium,G,SI1,60.5,60.0,5105
91,0.9,Very Good,E,SI2,62.2,54.0,3715
92,0.5,Very Good,D,SI1,62.8,58.0,1415
93,0.3,Ideal,F,SI1,62.2,54.2,499
94,0.64,Ideal,D,VS1,61.5,56.0,2787
95,0.91,Fair,F,SI2,65.3,51.0,2996
96,1.24,Premium,G,VVS1,60.4,59.0,10485
97,2.3,Ideal,I,SI2,61.8,57.0,16329
98,0.27,Ideal,E,VS1,61.6,56.0,603
99,1.0,Premium,J,VVS2,59.6,61.0,3864
100,0.71,Ideal,G,VS2,62.9,56.0,2443
101,0.36,Premium,E,SI1,60.8,59.0,810
102,0.31,Ideal,D,SI2,62.1,57.0,593
103,0.93,Ideal,H,SI1,62.8,56.0,3988
104,0.33,Good,D,VS2,61.8,61.0,652
105,1.77,Premium,G,SI2,62.7,59.0,9664
106,1.06,Ideal,E,SI2,62.2,55.0,5223
107,1.21,Ideal,G,SI2,62.1,57.0,5226
108,0.3,Ideal,E,VVS1,62.3,55.0,826
109,1.27,Ideal,I,VS2,62.6,57.0,6401
110,0.92,Very Good,D,SI2,62.4,60.0,4168
111,0.31,Ideal,I,VS1,61.9,54.0,489
112,2.01,Good,H,VS2,57.8,60.0,18561
113,1.51,Ideal,G,VS1,61.9,57.0,14674
114,1.83,Very Good,G,VS2,60.5,59.0,18358
115,0.38,Premium,F,VS1,62.4,59.0,933
116,0.23,Premium,F,VVS2,61.3,59.0,445
117,0.92,Ideal,I,SI1,62.1,55.0,3610
118,1.5,Premium,D,SI1,62.4,58.0,12069
119,0.32,Very Good,G,VS1,62.1,55.0,645
120,1.0,Ideal,F,SI2,61.2,57.0,4372
121,0.31,Very Good,F,VVS1,59.4,57.0,779
122,0.52,Good,F,SI2,58.7,64.0,1350
123,2.01,Ideal,H,SI2,62.5,53.9,14998
124,0.31,Ideal,G,VVS2,62.2,55.0,565
125,0.77,Very Good,J,SI1,61.0,59.0,2086
126,1.13,Very Good,H,SI2,59.8,59.0,4537
127,0.32,Ideal,D,SI1,62.6,55.0,589
128,2.07,Premium,E,SI1,61.2,58.0,16957
129,0.71,Premium,G,VS2,60.3,59.0,2443
130,1.11,Ideal,F,VS2,60.4,58.0,7275
131,1.02,Premium,F,SI2,61.1,59.0,4541
132,1.56,Ideal,H,VS2,61.5,56.0,11636
133,0.34,Very Good,I,VS2,61.6,56.0,457
134,0.96,Premium,G,SI2,62.7,60.0,3215
135,0.31,Premium,D,VS2,62.3,55.0,942
136,0.64,Very Good,G,VS1,60.4,62.0,2060
137,1.01,Premium,F,VVS1,62.5,58.0,7882
138,0.35,Ideal,H,VVS2,62.5,57.0,706
139,0.7,Premium,F,SI2,62.5,60.0,2373
140,0.3,Ideal,H,VS1,62.1,54.0,675
141,0.71,Ideal,H,VVS1,61.1,56.0,3137
142,0.31,Ideal,G,IF,61.1,57.0,871
143,2.25,Ideal,E,I1,61.4,54.0,9072
144,1.18,Premium,I,SI1,62.8,56.0,5088
145,1.22,Very Good,G,SI2,63.2,58.0,6409
146,1.72,Ideal,G,VS2,62.8,57.0,12830
147,2.01,Ideal,F,SI2,61.7,56.0,18394
148,1.03,Premium,G,SI1,60.1,60.0,5581
149,0.7,Ideal,F,VS2,62.0,56.0,2671
150,1.01,Good,E,SI1,64.3,59.0,5379
151,1.0,Fair,H,VS1,64.6,59.0,5242
152,1.1,Ideal,F,VVS2,61.2,56.0,10487
153,0.59,Ideal,D,IF,60.9,57.0,4208
154,0.3,Very Good,H,VS2,63.5,59.0,608
155,0.56,Ideal,E,VS1,61.3,55.0,1930
156,0.9,Premium,F,SI1,61.7,62.0,3936
157,0.57,Very Good,E,VS2,60.7,58.0,1732
158,0.72,Ideal,D,SI2,61.2,57.0,2328
159,1.0,Fair,H,SI1,65.5,57.0,3511
160,0.4,Ideal,G,VVS1,62.1,53.0,1043
161,1.22,Premium,I,SI2,62.3,58.0,4831
162,1.02,Ideal,G,IF,62.3,57.0,8955
163,1.08,Ideal,H,VS2,61.8,56.0,5625
164,0.33,Premium,G,IF,60.8,58.0,1052
165,0.42,Very Good,E,VVS2,59.8,56.0,1167
166,1.36,Very Good,F,SI1,62.8,53.0,6597
167,0.58,Ideal,F,VS1,62.1,56.0,2088
168,1.02,Good,G,SI1,63.6,58.0,4964
169,1.19,Good,E,VS2,57.4,60.0,6937
170,2.01,Good,D,SI2,64.6,55.0,15394
171,1.15,Very Good,F,SI2,63.1,63.0,4915
172,0.79,Premium,D,SI2,60.0,60.0,2853
173,0.32,Premium,D,VS2,62.9,59.0,842
174,0.31,Ideal,F,VS2,61.6,56.0,749
175,0.54,Very Good,F,VS1,61.0,58.0,1813
176,0.5,Very Good,D,VS2,62.8,60.0,1627
177,1.86,Very Good,H,SI2,62.3,57.0,11416
178,1.04,Very Good,H,VS2,60.9,58.0,5447
179,1.41,Ideal,G,VS2,60.8,55.0,10581
180,0.3,Ideal,E,SI1,61.6,54.0,499
181,0.33,Ideal,H,VS1,61.6,55.0,610
182,1.06,Ideal,D,SI1,62.7,54.0,6055
183,0.31,Ideal,I,SI2,62.0,54.1,372
184,0.91,Good,G,SI1,64.3,60.0,3344
185,0.75,Very Good,J,SI1,62.4,56.0,2083
186,0.3,Very Good,F,IF,62.1,57.0,886
187,0.41,Ideal,D,VVS1,60.6,57.0,1582
